business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FIRA HARDWARE,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,N/A,N/A,5.0,3.0,"M4J5+Q25, Kenuozou Hill, Kohima, Nagaland 797001",Kenuozou Hill,25.6818235,94.1077698,ChIJezC8NAEhRjcRBt3jgJ0q5kM,https://www.google.com/maps/place/?q=place_id:ChIJezC8NAEhRjcRBt3jgJ0q5kM,part_372,2026-09-20 20:37:59
Shree om banna hardware 7773,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,N/A,N/A,3.8,,"Tzusapnag, sector, Mokokchung Village, Nagaland 798601",797001,26.329195,94.541748,ChIJDYHpVsKpRzcR2tL-KDxmisA,https://www.google.com/maps/place/?q=place_id:ChIJDYHpVsKpRzcR2tL-KDxmisA,part_372,2026-09-20 20:37:59
ASSAM HARDWARE,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 96949 45772,N/A,3.8,,"AM ROAD, Kohima-Mokokchung Rd, near Tzusapng Sector, Artang Ward, Mokokchung, Nagaland 798601",Artang Ward,26.313203599999998,94.5103211,ChIJlzeW8XqpRzcRI8ZEXfY4nn0,https://www.google.com/maps/place/?q=place_id:ChIJlzeW8XqpRzcRI8ZEXfY4nn0,part_372,2026-09-20 20:37:59
MTA HARDWARE,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 98652 75485,N/A,5.0,,"Tsumang Rd, Wokha, Nagaland 797111",797001,26.0954406,94.25571219999999,ChIJjXQJj3ZPRjcRBgS4Dkk674s,https://www.google.com/maps/place/?q=place_id:ChIJjXQJj3ZPRjcRBgS4Dkk674s,part_372,2026-09-20 20:37:59
Cordial Store,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 76280 23391,N/A,1.0,,"Mhathung Complex, Kohima Road, Wokha, Nagaland 797111",797001,26.0993069,94.2569321,ChIJ52nF8UBPRjcRYwMNKVPZ7r4,https://www.google.com/maps/place/?q=place_id:ChIJ52nF8UBPRjcRYwMNKVPZ7r4,part_372,2026-09-20 20:37:59
Jasnath Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 93628 73661,N/A,3.2,,"7FVR+732, Aolijen, Ungma, Nagaland 798601",797001,26.2945261,94.4906882,ChIJLd5MLimpRzcRm88rwq4cI2c,https://www.google.com/maps/place/?q=place_id:ChIJLd5MLimpRzcRm88rwq4cI2c,part_372,2026-09-20 20:37:59
Micro Automobile,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 96129 76358,N/A,,,"Police Point, Wokha, Nagaland 797111",797001,26.0964705,94.255483,ChIJqamc9d9PRjcRo6CwYUpsToY,https://www.google.com/maps/place/?q=place_id:ChIJqamc9d9PRjcRo6CwYUpsToY,part_372,2026-09-20 20:37:59
Bharat iron steel hardware shop,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Wholesaler",797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,N/A,N/A,4.8,66.0,"Opposite City square 7 mile, chumukdima, Nagaland 797113",chumukdima,25.8264456,93.7783525,ChIJMb3PFwAJRjcR9RFZ5QfsDbw,https://www.google.com/maps/place/?q=place_id:ChIJMb3PFwAJRjcR9RFZ5QfsDbw,part_372,2026-09-20 20:38:00
SURENDRA ENTERPRISE,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,+91 82904 40951,N/A,,,"Mansyu Building, Police Point, Wokha, Nagaland 797111",797001,26.0964413,94.25468719999999,ChIJFSJaL_NPRjcR6JOiwU6SS18,https://www.google.com/maps/place/?q=place_id:ChIJFSJaL_NPRjcR6JOiwU6SS18,part_372,2026-09-20 20:38:00
Hardware shop,Industrial Hardware and Fasteners,Hardware store,Hardware store,797001,North Eastern Circle,North Eastern Region,Nagaland Division,Kohima H.O,N/A,N/A,,,"M4F5+MFQ, Ward 5, Kitsubozou Colony, Kohima, Nagaland 797001","Ward 5, Kitsubozou Colony",25.6742037,94.1087498,ChIJV_Mq9ckhRjcRmD5Qykog_qs,https://www.google.com/maps/place/?q=place_id:ChIJV_Mq9ckhRjcRmD5Qykog_qs,part_372,2026-09-20 20:38:00
