business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mamta refrigeration,AC Fridge and Washing Machine Repair,Repair service,Repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,4.8,,"main road, Savitri market, Road No. 24, Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.629309799999998,85.0900953,ChIJUUbZG0lX7TkRdukLIG05Lbc,https://www.google.com/maps/place/?q=place_id:ChIJUUbZG0lX7TkRdukLIG05Lbc,part_375,2026-09-20 20:34:01
"Purushottam Refrigeration-Air Conditioner, Refrigerator, fridge, Ro & Washing Machine Repair Service",AC Fridge and Washing Machine Repair,Repair service,Repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,5.0,,"Gokul Path, East Patel Nagar, Adarsh Colony, Rajbansi Nagar, Patna, Bihar 801103","East Patel Nagar, Adarsh Colony, Rajbansi Nagar",25.615944799999998,85.1005237,ChIJdywjHJ5X7TkRCek20faCHfI,https://www.google.com/maps/place/?q=place_id:ChIJdywjHJ5X7TkRCek20faCHfI,part_375,2026-09-20 20:34:01
Indian Service Centers-Expert Repair Service,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Microwave oven repair service, Refrigerator repair service, Washer & dryer repair service, Water purification company",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,https://www.indianservicecenters.com/home,5.0,,"J488+W5X, Boring Rd, near A.N.College, Anandpuri, Patna, Bihar 800013",Anandpuri,25.617366,85.11548599999999,ChIJ-a2m-NNyQooRvHBkZGM1Yq8,https://www.google.com/maps/place/?q=place_id:ChIJ-a2m-NNyQooRvHBkZGM1Yq8,part_375,2026-09-20 20:34:01
Smart Repair| Ac Repair| washing machine Repair | Refrigerator Repair| Microwave oven Repair| geyser Repair,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,,,"AN College, Boring Rd, near Roti restorent, Block - A, North Sri Krishna Puri, Patna, Bihar 800013","Block - A, North Sri Krishna Puri",25.6191662,85.1097413,ChIJGQcV3HVZ7TkRSNC0Ca_nwOA,https://www.google.com/maps/place/?q=place_id:ChIJGQcV3HVZ7TkRSNC0Ca_nwOA,part_375,2026-09-20 20:34:01
OME Service - Expert Repair Service Provider,AC Fridge and Washing Machine Repair,Repair service,"Repair service, Air compressor repair service, Microwave oven repair service, Refrigerator repair service",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 82289 99444,http://www.omeservice.org/,4.8,,"1st Floor, 23, Rajapul Link Rd, near Alankar True Value KFC In Building, Buddha Colony, Patna, Bihar 800001",Buddha Colony,25.6240232,85.1251341,ChIJJcKytAxZ7TkRYb_Mkjz81Sc,https://www.google.com/maps/place/?q=place_id:ChIJJcKytAxZ7TkRYb_Mkjz81Sc,part_375,2026-09-20 20:34:01
MannuBhai Service Expert,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Air conditioning contractor, Air conditioning repair service, Microwave oven repair service, Refrigerator repair service, Small appliance repair service, Vacuum cleaner repair shop, Washer & dryer repair service, Water Filter Supplier, Water purification company",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 70650 12902,https://www.mannubhai.com/patna/,4.6,,"Shop No. 105, NRI Plaza, Rajeev Nagar Main Rd, Rajeev Nagar, Digha Ghat, Patna, Bihar 800024","Rajeev Nagar, Digha Ghat",25.6309506,85.0988271,ChIJXflvu1FX7TkRHx2I_Q1dP8Q,https://www.google.com/maps/place/?q=place_id:ChIJXflvu1FX7TkRHx2I_Q1dP8Q,part_375,2026-09-20 20:34:01
Repair Hubs - Best AC repair service in Patna | Geyser repair service in Patna | Fridge repair service,AC Fridge and Washing Machine Repair,Air conditioning repair service,Air conditioning repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 80845 27017,https://webxinfo.in/Repairhub,5.0,,"Gayatri Niwas, Road Number 24, Ashiana Digha Road, near CRPF Camp, Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.629999899999998,85.0902344,ChIJeVEXR-9X7TkRaTyNq1LzIco,https://www.google.com/maps/place/?q=place_id:ChIJeVEXR-9X7TkRaTyNq1LzIco,part_375,2026-09-20 20:34:01
Royal Refrigeration,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,,,"Gate No. 65, More, Ashiana - Digha Rd, Kurji, Patna, Bihar 800010",Kurji,25.6390557,85.1088417,ChIJy5MPJpRZ7TkRkVsnoluizIM,https://www.google.com/maps/place/?q=place_id:ChIJy5MPJpRZ7TkRkVsnoluizIM,part_375,2026-09-20 20:34:02
DomValue Appliances Repair & Services,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Air conditioning repair service",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 75666 31222,https://domvalueappliances.com/,4.3,36.0,"E 32, near Saraswati Dairy, Balwant Nagar, Gwalior, Madhya Pradesh 474011",Balwant Nagar,26.2112746,78.1977505,ChIJH4QAZr3FdjkRee5IKgu3iq0,https://www.google.com/maps/place/?q=place_id:ChIJH4QAZr3FdjkRee5IKgu3iq0,part_375,2026-09-20 20:34:02
repair service bro,AC Fridge and Washing Machine Repair,Repair service,Repair service,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 78800 07124,https://repairservicebro.com/,5.0,171.0,"a11, Bhind Rd, near by Gole Ka Mandir Road, Purshottam Vihar Colony, Hanuman Nagar, Morar, Gwalior, Madhya Pradesh 474005","Purshottam Vihar Colony, Hanuman Nagar, Morar",26.2395262,78.20890729999999,ChIJj-W8ywjNT6kRadLSlWc4bFw,https://www.google.com/maps/place/?q=place_id:ChIJj-W8ywjNT6kRadLSlWc4bFw,part_375,2026-09-20 20:34:04
