business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
StarBoom Web Technologies,Local SEO Agencies,Marketing agency,"Marketing agency, Computer networking service, Website designer, Software company, Web hosting company",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 87299 92567,https://starboom.in/,4.9,15.0,"Leirembi Maning, Yumnam Leikai, Imphal, Manipur 795001",Yumnam Leikai,24.7892187,93.9384686,ChIJ3yMThd4nSTcRHXfdP_Lph4A,https://www.google.com/maps/place/?q=place_id:ChIJ3yMThd4nSTcRHXfdP_Lph4A,part_371,2026-09-20 20:19:33,4253
SEO Engineer,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 99618 88512,https://www.seoengineer.in/,4.8,37.0,"9, Parijatham Road, Parijatham Area, Pathadipalam, Kalamassery, Kochi, Ernakulam, Keralam 682033","Parijatham Area, Pathadipalam, Kalamassery",10.040063,76.317774,ChIJTyzlq0oMCDsRhI-_dbrwDQI,https://www.google.com/maps/place/?q=place_id:ChIJTyzlq0oMCDsRhI-_dbrwDQI,part_371,2026-09-20 20:19:33,4254
MyTrafficBuzz,Local SEO Agencies,Internet marketing service,Internet marketing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 62915 62131,https://www.mytrafficbuzz.com/,4.8,8.0,"17/18, Central Road, Garifa, Naihati, Kolkata, West Bengal 743166","Garifa, Naihati",22.9059195,88.41419549999999,ChIJiRP2KpKV-DkRa8A-yKzP2yM,https://www.google.com/maps/place/?q=place_id:ChIJiRP2KpKV-DkRa8A-yKzP2yM,part_371,2026-09-20 20:19:33,4255
Digitaze Marketing Solution,Local SEO Agencies,Internet marketing service,Internet marketing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 73085 87859,N/A,5.0,4.0,"New Checkon Rd, New Checkon Mamang Leikai, Nongpok Inkhol, Imphal, Manipur 795001","New Checkon Mamang Leikai, Nongpok Inkhol",24.805936,93.9494376,ChIJ6ybWYxgnSTcRU2E-WIF_ExE,https://www.google.com/maps/place/?q=place_id:ChIJ6ybWYxgnSTcRU2E-WIF_ExE,part_371,2026-09-20 20:19:34,4256
Asksur,Local SEO Agencies,Internet marketing service,"Internet marketing service, Automation company, Coaching Center, Marketing agency, Marketing consultant, Website designer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94038 90483,http://www.asksur.com/,4.6,204.0,"Sinam Leikai, Thangmeiband Sinam Leikai, Thangmeiband, Imphal, Manipur 795004","Thangmeiband Sinam Leikai, Thangmeiband",24.8268821,93.9347974,ChIJcQd_NLknSTcR7AKk0fg_wtM,https://www.google.com/maps/place/?q=place_id:ChIJcQd_NLknSTcR7AKk0fg_wtM,part_371,2026-09-20 20:19:34,4257
Kekruweb,Local SEO Agencies,Internet marketing service,"Internet marketing service, Website designer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 99677 09124,https://kekruweb.com/,5.0,4.0,"3, Star Palace, North AOC, Kekrupat, Zomi Villa, Ragailong, Imphal, Kairang Meitei, Manipur 795001","Zomi Villa, Ragailong",24.8147526,93.9473778,ChIJGxn1iAcnSTcRzBj1eCOThg4,https://www.google.com/maps/place/?q=place_id:ChIJGxn1iAcnSTcRzBj1eCOThg4,part_371,2026-09-20 20:19:34,4258
facebook Owner (!ao),Local SEO Agencies,Web hosting company,"Web hosting company, Computer support and services",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 76418 35068,http://www.facebook.com/,1.0,1.0,"Shah Lane, Keikhu Awang Leikai, Nongjai Leikai, Khergao, Imphal, Manipur 795005","Keikhu Awang Leikai, Nongjai Leikai, Khergao",24.792092,93.972946,ChIJtdrWcwMnSTcRbFyYMo6taMo,https://www.google.com/maps/place/?q=place_id:ChIJtdrWcwMnSTcRbFyYMo6taMo,part_371,2026-09-20 20:19:34,4259
Digital Manipur,Local SEO Agencies,Computer support and services,"Computer support and services, Advertising agency",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 88373 47672,N/A,4.3,13.0,"Khurai Rd, Thoidingjam Leikai, Lamlong Bazar, Imphal, Kairang Muslim, Manipur 795010","Thoidingjam Leikai, Lamlong Bazar",24.8267278,93.9654334,ChIJafV68cknSTcRZAwlhwiyBi0,https://www.google.com/maps/place/?q=place_id:ChIJafV68cknSTcRZAwlhwiyBi0,part_371,2026-09-20 20:19:35,4260
Simple SEO,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant, Website designer",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 98043 29260,https://www.simpleseo.in/,5.0,63.0,"AG 127/1, Talbagan, Sardar Para, Hanapara, Kestopur, Kolkata, West Bengal 700102","Talbagan, Sardar Para, Hanapara, Kestopur",22.598537,88.4318577,ChIJMehVv491AjoRoO679Vd6gI8,https://www.google.com/maps/place/?q=place_id:ChIJMehVv491AjoRoO679Vd6gI8,part_371,2026-09-20 20:20:15,11429
SEO AGENCY,Local SEO Agencies,Marketing agency,Marketing agency,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,N/A,5.0,2.0,"P.N. 68, Shiv Goraksh Nagar, Model Town, Jagatpura, Jaipur, Rajasthan 302017","Shiv Goraksh Nagar, Model Town, Jagatpura",26.840634599999998,75.82653429999999,ChIJqzdoBQC3bTkRCYTFFMJLTXA,https://www.google.com/maps/place/?q=place_id:ChIJqzdoBQC3bTkRCYTFFMJLTXA,part_371,2026-09-20 20:20:15,11430
