business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Yug Technology®️,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Internet marketing service, Website designer, Marketing consultant",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 73000 01727,https://yugtechnology.com/,4.8,,"1st Floor, R9, Rawla Sarkar, Samta Nagar, near Nela Talab, Sector 14, Hiran Magri, Udaipur, Rajasthan 313001","Sector 14, Hiran Magri",24.5377999,73.7020399,ChIJb_-D7GLvZzkRMBQYIMARKYU,https://www.google.com/maps/place/?q=place_id:ChIJb_-D7GLvZzkRMBQYIMARKYU,part_372,2026-09-20 20:40:20
AK DIGITAL STRATEGIES,Social Media Marketing Agencies,Marketing agency,Marketing agency,797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",N/A,https://akdigitalstrategies.com/,,,"1-7-1692, Srinivasa Nagar, Balasamudram, Hanamkonda, Telangana 506001","Srinivasa Nagar, Balasamudram",17.9963463,79.5630669,ChIJCzSnvv5FMzoRaVzSaoULSno,https://www.google.com/maps/place/?q=place_id:ChIJCzSnvv5FMzoRaVzSaoULSno,part_372,2026-09-20 20:40:20
Brand Imprint,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Digital printing service, Graphic designer, Internet marketing service, Advertising agency, Website designer",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 70866 08722,https://brandimprint.in/,4.7,,"Bora Service, Second Floor, Keshab Tower, GS Rd, above Hrishaan Suzuki, Ulubari, Guwahati, Assam 781007","South Sarania, Ulubari",26.170339799999997,91.7631742,ChIJGV7-Sg5ZWjcRBrpwusc94Bg,https://www.google.com/maps/place/?q=place_id:ChIJGV7-Sg5ZWjcRBrpwusc94Bg,part_372,2026-09-20 20:40:20
Flying Minds,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Public relations firm",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 74278 22636,http://flyingminds.in/,4.9,,"24, Doctors Colony, DCM, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Doctors Colony, DCM",26.8957305,75.7420751,ChIJ7TaDt4a1bTkRYcHCuEzLlJg,https://www.google.com/maps/place/?q=place_id:ChIJ7TaDt4a1bTkRYcHCuEzLlJg,part_372,2026-09-20 20:40:20
ClouDigital Multi Ventures Pvt. Ltd.,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Marketing agency, Website designer",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 85217 86536,https://cloudigital.in/,5.0,,"Indira Nagar Main Rd, near Chanakya Law College, Postal Park, Mithapur, Patna, Bihar 800001","Postal Park, Mithapur",25.5911354,85.14041309999999,ChIJsxwg9r5Z7TkRdFVwoAD6FPs,https://www.google.com/maps/place/?q=place_id:ChIJsxwg9r5Z7TkRdFVwoAD6FPs,part_372,2026-09-20 20:40:20
Marketing Mafia,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",N/A,http://www.marketingmafia.guru/,5.0,,"Marketing Mafia, 797006, India",797006,10.8211663,78.2897649,ChIJ3390A6JhUjoRazBtpgPPbHQ,https://www.google.com/maps/place/?q=place_id:ChIJ3390A6JhUjoRazBtpgPPbHQ,part_372,2026-09-20 20:40:20
Agkiya Media,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Graphic designer, Marketing agency, Marketing consultant, Media company, Website designer",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 73238 22186,http://agkiyamedia.com/,4.1,,"Agkiya Media 601, 6th Floor Verma Centre, Boring Rd, crossing, Patna, Bihar 800001","crossing, Sri Krishna Puri",25.6125646,85.1185248,ChIJ3cjSv29Z7TkRk5HK8Gzrxk4,https://www.google.com/maps/place/?q=place_id:ChIJ3cjSv29Z7TkRk5HK8Gzrxk4,part_372,2026-09-20 20:40:20
Business Volunteers- boost sales with digital marketing,Social Media Marketing Agencies,Advertising agency,Advertising agency,797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 85869 89832,https://businessvolunteers.online/,,,"Jasnawali Khurd, Uttar Pradesh 203001",797006,28.443482799999998,77.8815887,ChIJJeQGd7GhDDkRWn4y1lF6BAM,https://www.google.com/maps/place/?q=place_id:ChIJJeQGd7GhDDkRWn4y1lF6BAM,part_372,2026-09-20 20:40:21
Welix Digital Marketing Agency Bangalore,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Marketing agency, Marketing consultant, Website designer",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 70901 70524,https://www.welixdigital.com/,4.9,,"Play Ground, No1, 1st floor, Nyanapahalli Main Rd, Devarachikkanahalli Begur Rd, opposite Stone Park, BDA Layout BTM 4th Stage, Bengaluru, Karnataka 560114",BDA Layout BTM 4th Stage,12.882173,77.6178592,ChIJnwdGGJcVrjsRhb7o7mUPH1w,https://www.google.com/maps/place/?q=place_id:ChIJnwdGGJcVrjsRhb7o7mUPH1w,part_372,2026-09-20 20:40:21
"Svapps Soft Solutions Pvt Ltd | Digital Marketing Agency | Web Design Company | Software Development Warangal, Hanamkonda",Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Website designer",797006,North Eastern Circle,North Eastern Region,Nagaland Division,"Jakhama S.O, Khuzama B.O, Kigwema B.O",+91 95739 99985,https://www.svapps.in/,4.5,,"6-2-280/2, Vijaya Theater Road, Oppt:, Kakaji Nagar Colony, Hanamkonda, Warangal, Telangana 506001","Oppt:, Kakaji Nagar Colony",18.0035851,79.569457,ChIJRx7hokhFMzoRJheJLsiAp9M,https://www.google.com/maps/place/?q=place_id:ChIJRx7hokhFMzoRJheJLsiAp9M,part_372,2026-09-20 20:40:21
