business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PROTIDHWANI SOUND LIGHT,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 70022 65618,N/A,5.0,,"Majuli potiya (Assam, Upper Katoni, Potia Gaon, Assam 785106",795136,26.941831,94.22545649999999,ChIJ2fFyLwrPRjcRJ_NPftsxJv8,https://www.google.com/maps/place/?q=place_id:ChIJ2fFyLwrPRjcRJ_NPftsxJv8,part_371,2026-09-20 20:28:47
RENT YOUR SOUND,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 98627 89440,https://www.instagram.com/rent_your_sound?igsh=MWhjMjRqY2ZwMGpwNw==,5.0,,"Lane 1, near holotoli school gate 3, Padum Pukhuri, block- 1, Dimapur, Nagaland 797116","Padum Pukhuri, block- 1",25.9022713,93.753485,ChIJ7Sx-vwYLRjcRulA6a3cMyoo,https://www.google.com/maps/place/?q=place_id:ChIJ7Sx-vwYLRjcRulA6a3cMyoo,part_371,2026-09-20 20:28:47
RS SOUND & LIGHT,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 83999 85406,N/A,5.0,,"RS SOUND & LIGHT, Barpeta Road, near PURNIMA COMPLEX, Babupara, VILL, JAKHLIBILL PATHAR, Barpeta Road, Assam 781315","Babupara, VILL, JAKHLIBILL PATHAR",26.4971978,90.98126309999999,ChIJ9XXma2h1WTcR7GLlvNqB_1Y,https://www.google.com/maps/place/?q=place_id:ChIJ9XXma2h1WTcR7GLlvNqB_1Y,part_371,2026-09-20 20:28:47
On Stage Sound & Light,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, DJ service, Event management company, Event planner, Stage lighting equipment supplier",795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 97549 75444,N/A,4.9,,"P.No 18, Landlord Estate, near Samar Park, Nipania, Indore, Madhya Pradesh 452010",Nipania,22.7647408,75.9230719,ChIJTdhBzkv9YjkRbQM7n53hupk,https://www.google.com/maps/place/?q=place_id:ChIJTdhBzkv9YjkRbQM7n53hupk,part_371,2026-09-20 20:28:47
Musical doctorz (Dimapur Sound system ),Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Tent House Supplier, Wedding planner",795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 70056 17283,N/A,4.5,,"Chairman Resistance Area, Lane 7, inside Signal Basti, Signal Bosti, Dimapur, Nagaland 797118",Signal Bosti,25.8921016,93.7213936,ChIJ5XyTUJvjRTcR2jx_ojZ2bhE,https://www.google.com/maps/place/?q=place_id:ChIJ5XyTUJvjRTcR2jx_ojZ2bhE,part_371,2026-09-20 20:28:47
SK Sound Dimapur (Live sound rental),Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",N/A,N/A,5.0,,"Ln 20, Duncan Basti, Dimapur, Nagaland 797118",Duncan Basti,25.891247999999997,93.7134528,ChIJR0f0j27jRTcRrYiJsWEXxvU,https://www.google.com/maps/place/?q=place_id:ChIJR0f0j27jRTcRrYiJsWEXxvU,part_371,2026-09-20 20:28:47
AudioGear,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, DJ supply store, Musical instrument store",795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 85757 63510,N/A,5.0,,"IG Road, below Highland park, AudioGear, Meriema, Kohima, Nagaland 797004",AudioGear,25.708898599999998,94.0902971,ChIJ-Yu0cNYjRjcRH-3zqx9Y_FY,https://www.google.com/maps/place/?q=place_id:ChIJ-Yu0cNYjRjcRH-3zqx9Y_FY,part_371,2026-09-20 20:28:47
Elevate LED Rentals,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",+91 70998 96247,N/A,5.0,,"AT Road, opp. Smart Bazaar, near India Club, Dibrugarh, Assam 786001",795136,27.4847699,94.90433379999999,ChIJI1oxsCOZQDcRuAEa-z-5AVg,https://www.google.com/maps/place/?q=place_id:ChIJI1oxsCOZQDcRuAEa-z-5AVg,part_371,2026-09-20 20:28:47
"A.K Sound , Light & Tent House",Sound and Light Rental,Party equipment rental service,"Party equipment rental service, Event planner, Wedding planner",795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",N/A,N/A,5.0,,"Province No.2 , Siraha Madar Road khirauna chowk & Millan Chowk Siraha-16, 56513, Nepal",Khirauna,26.6268124,86.1926514,ChIJtYDnIgcn7DkRdkcOP7kiQo0,https://www.google.com/maps/place/?q=place_id:ChIJtYDnIgcn7DkRdkcOP7kiQo0,part_371,2026-09-20 20:28:47
"M.Y.S. Sound( Sound System, Digital Light, steg, generetor, tent Rent service center )",Sound and Light Rental,Event technology service,Event technology service,795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O",N/A,N/A,3.8,,"bairahani, Khairahani, Bagmati Province 44202, Nepal",795136,27.6093828,84.59596359999999,ChIJZ5fFWj3plDkRAvE4aFQlOQA,https://www.google.com/maps/place/?q=place_id:ChIJZ5fFWj3plDkRAvE4aFQlOQA,part_371,2026-09-20 20:28:47
