business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Uday Oil & Foods Industries,Edible Oil Wholesaler,Food manufacturer,Food manufacturer,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 80 4605 7193,https://www.udayoilindia.com/,5.0,3.0,"1, Madhupura, Ahmedabad, Gujarat 380016",Madhupura,23.0411207,72.5924752,ChIJZ_glVkCEXjkRsYDO8EFxYPw,https://www.google.com/maps/place/?q=place_id:ChIJZ_glVkCEXjkRsYDO8EFxYPw,part_379,2026-09-20 20:26:34
J S oil stores,Edible Oil Wholesaler,Store,Store,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 94441 00753,N/A,4.8,72.0,"128, Ambattur Red Hills Rd, Palaniappa Nagar, Ambattur, Chennai, Tamil Nadu 600053","Palaniappa Nagar, Ambattur",13.131486899999999,80.1610123,ChIJLR3fNwxjUjoRhnxuGMokmm8,https://www.google.com/maps/place/?q=place_id:ChIJLR3fNwxjUjoRhnxuGMokmm8,part_379,2026-09-20 20:26:34
Ravi Oil Store,Edible Oil Wholesaler,Wholesaler,Wholesaler,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 44 2664 0180,https://ravioilstore.in/,4.5,8.0,"38, Lime KLN St, Aminjikarai, Chennai, Tamil Nadu 600030",Aminjikarai,13.0735447,80.22356979999999,ChIJaQtliIRmUjoRVjT6NTyJxMc,https://www.google.com/maps/place/?q=place_id:ChIJaQtliIRmUjoRVjT6NTyJxMc,part_379,2026-09-20 20:26:34
SHRI OIL COMPANY,Edible Oil Wholesaler,Store,"Store, Coffee wholesaler, Cosmetics store, Natural goods store, Oil refinery, Olive oil manufacturer, Organic food store, Organic shop, Tea Manufacturer, Wholesaler",805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 96890 55111,N/A,4.8,267.0,"1230 E SHAHU MILL CHOWK, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.696706,74.23870099999999,ChIJCTCYqxUAwTsR39iacTzGhDw,https://www.google.com/maps/place/?q=place_id:ChIJCTCYqxUAwTsR39iacTzGhDw,part_379,2026-09-20 20:26:34
Annapurna Lakdi Ghana (Factory Outlet),Edible Oil Wholesaler,Store,Store,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",N/A,https://annapurnalakdighana.com/,4.9,692.0,"D20, behind Aher Garden, Swami Vivekananda Colony, Walhekarwadi, Sector No. 32, Nigdi, Pimpri-Chinchwad, Maharashtra 411033","Swami Vivekananda Colony, Walhekarwadi, Sector No. 32, Nigdi",18.627914099999998,73.76322689999999,ChIJE-Mz77e5wjsRKQc0-nsd5qE,https://www.google.com/maps/place/?q=place_id:ChIJE-Mz77e5wjsRKQc0-nsd5qE,part_379,2026-09-20 20:26:34
Raj Oil Trading,Edible Oil Wholesaler,Wholesaler,Wholesaler,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 22 2612 3736,N/A,3.9,12.0,"Vanmali Chawl, 240, Nehru Rd, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","Navpada, Vile Parle East, Vile Parle",19.0984749,72.84461739999999,ChIJqV1DT7HJ5zsRN6exbaUPWdA,https://www.google.com/maps/place/?q=place_id:ChIJqV1DT7HJ5zsRN6exbaUPWdA,part_379,2026-09-20 20:26:34
LivePlus Cold Pressed Oil (Wood Pressed Oil),Edible Oil Wholesaler,Manufacturer,"Manufacturer, Health food store, Kitchen supply store, Organic shop, Store",805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 90360 00911,https://www.liveplus.co.in/,4.8,,"1027 Basement, 11th Cross, 24th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","1st Sector, HSR Layout",12.9173419,77.6493174,ChIJ-VN_lYMUrjsRPRIeHNiGShg,https://www.google.com/maps/place/?q=place_id:ChIJ-VN_lYMUrjsRPRIeHNiGShg,part_379,2026-09-20 20:26:35
House of oils,Edible Oil Wholesaler,Store,Store,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 94403 27748,N/A,4.5,,"18-95/a, chaitanyapuri Saroornagar, Hyderabad, Telangana 500060","VR Colony, Kamala Nagar, Dilsukhnagar",17.368218,78.53211069999999,ChIJgfIK0oCZyzsRHaDP3ecklTg,https://www.google.com/maps/place/?q=place_id:ChIJgfIK0oCZyzsRHaDP3ecklTg,part_379,2026-09-20 20:26:35
Varaha Ghani Oils & Organics,Edible Oil Wholesaler,Manufacturer,Manufacturer,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 98223 25252,N/A,5.0,122.0,"Shop no 7, Kodre Plaza, Zen Estate, Riverfront Rd, Santipur, Thite Nagar, Kharadi, Pune, Maharashtra 411014","Santipur, Thite Nagar, Kharadi",18.5378462,73.9383702,ChIJHxITb77DwjsRIilsyrtJIsU,https://www.google.com/maps/place/?q=place_id:ChIJHxITb77DwjsRIilsyrtJIsU,part_379,2026-09-20 20:26:36
Shri Maa Oils Ltd.,Edible Oil Wholesaler,Store,Store,805113,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bauri BO, Belar BO, Bhatta BO",+91 78799 36191,http://shrimaaoils.com/,4.6,13.0,"Grace”, 1, Ring Rd Square Musakhedi, Khisnpuri Colony, Babul Nagar, Dev Nagar, Indore, Madhya Pradesh 452020","Khisnpuri Colony, Babul Nagar, Dev Nagar",22.6901857,75.8970204,ChIJG5NFyNL8YjkR9-a-wldjcmk,https://www.google.com/maps/place/?q=place_id:ChIJG5NFyNL8YjkR9-a-wldjcmk,part_379,2026-09-20 20:26:36
