business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Scanray Meditech Private Limited,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Equipment rental agency, Medical Equipment Manufacturer, X-ray equipment supplier",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,http://www.scanraymeditech.com/,4.9,,"Indrapuri Main Road, 09, Atal Path, near ABM class, Patna, Bihar 800024","North Patel Nagar, Keshri Nagar",25.6219044,85.09983299999999,ChIJ5YyphE5X7TkRYLiv93fJkQw,https://www.google.com/maps/place/?q=place_id:ChIJ5YyphE5X7TkRYLiv93fJkQw,part_375,2026-09-20 20:33:52
Arihant medmach Pvt Ltd,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,5.0,,"Plot No.- A4, A5, Patliputra Industrial Area, Patliputra Colony, Patna, Bihar 800013","Patliputra Industrial Area, Patliputra Colony",25.632787999999998,85.1025451,ChIJ1zXjLmpX7TkRydUwU4TN2OQ,https://www.google.com/maps/place/?q=place_id:ChIJ1zXjLmpX7TkRydUwU4TN2OQ,part_375,2026-09-20 20:33:52
AADI MEDICAL,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical Center",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 91179 30555,https://www.aadimedical.com/,,,"O, 24, Rajeev Nagar Main Rd, Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.6259034,85.08677759999999,ChIJY8EiOgBX7TkR70tdSuCYywg,https://www.google.com/maps/place/?q=place_id:ChIJY8EiOgBX7TkR70tdSuCYywg,part_375,2026-09-20 20:33:52
The Empire Health Care,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,5.0,,"Road No - 04, Sumitra Palace Building, Indrapuri Rd Number 10, Harihar Path, Mahesh Nagar, Keshri Nagar, Patna, Bihar 800024","Harihar Path, Mahesh Nagar, Keshri Nagar",25.623740299999998,85.1048093,ChIJk2RJpHdX7TkRV89sbQNc3xI,https://www.google.com/maps/place/?q=place_id:ChIJk2RJpHdX7TkRV89sbQNc3xI,part_375,2026-09-20 20:33:52
Swastikam healthcare,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Corporate office",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 99100 57443,N/A,5.0,,"3800, Ghurdaur Road, Road No. 26, Rajeev Nagar, Patna, Bihar 800024","Rajeev Nagar, Digha Ghat",25.633433699999998,85.0879362,ChIJYy3ycwBX7TkR67oJZaDni-4,https://www.google.com/maps/place/?q=place_id:ChIJYy3ycwBX7TkR67oJZaDni-4,part_375,2026-09-20 20:33:52
A.1.MEDICAL HALL,Medical Equipment Supplier,Medical supply store,Medical supply store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,5.0,,"A1 medical hall ag colony West keshri nagar Patna 24 near LUV Hospital veer kubar singh chowk, 24, Patna, Bihar 800024",AG Colony,25.6215893,85.0924409,ChIJixsYyqBX7TkRXQP3H2s_M60,https://www.google.com/maps/place/?q=place_id:ChIJixsYyqBX7TkRXQP3H2s_M60,part_375,2026-09-20 20:33:52
Maharashtra Health Care,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical Equipment Manufacturer, Hospital equipment and supplies, Oxygen equipment supplier, Wheelchair rental service, Wheelchair store",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 90047 83045,http://www.maharashtrahealthcare.com/,4.9,549.0,"shop no 2 kol dongri street number 1, Near, shiwaji chowk, opp. Omkareshwar mandir, Andheri East, Mumbai, Maharashtra 400069","Koldongri, Andheri East",19.111950999999998,72.85110879999999,ChIJ8aUerj3I5zsRSY9t1cByBIk,https://www.google.com/maps/place/?q=place_id:ChIJ8aUerj3I5zsRSY9t1cByBIk,part_375,2026-09-20 20:33:53
"Mythree Healthcare - Hospital Beds, Oxygen Cylinder Rental & Purchase. HBR Layout, Bengaluru",Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Equipment rental agency, Furniture Rental Store, Furniture store, Home health care service, Hospital equipment and supplies, Oxygen equipment supplier, Store, Wheelchair rental service, Wholesaler",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 89041 39314,https://mythreehealthcare.com/,4.8,19.0,"1st Floor, Vasantha Nilaya, HBR Layout 5th Block, HBR Layout, Bengaluru, Karnataka 560043","HBR Layout 5th Block, HBR Layout",13.0392873,77.6290027,ChIJ8zE0cFIXrjsRxknIE9kwaXU,https://www.google.com/maps/place/?q=place_id:ChIJ8zE0cFIXrjsRxknIE9kwaXU,part_375,2026-09-20 20:33:53
MEDIDEVICE HEALTHEXPERTS PRIVATE LIMITED,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical supply store, Orthopedic supplies store",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 75030 31677,https://bookyourmedidevice.com/,5.0,369.0,"1st Floor, W, 162- A/9, Shani Bazar Rd, near Community centre, Kishangarh Village, Vasant Kunj, New Delhi, Delhi 110070","Kishangarh Village, Vasant Kunj",28.515362099999997,77.1644754,ChIJUUlcofsfDTkR1t3tLJGpM34,https://www.google.com/maps/place/?q=place_id:ChIJUUlcofsfDTkR1t3tLJGpM34,part_375,2026-09-20 20:33:53
𝗠𝗲𝗱𝗶𝗰𝐚𝗹 𝐄𝗾𝐮𝗶𝗽𝗺𝗲𝗻𝘁𝘀 𝗼𝗻 𝗿𝗲𝗻𝘁 I ICU bed rental I BIPAP I CPAP I DVT Pump I Walker I Commode Chair,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Home health care service, Hospital equipment and supplies, Nursing agency, Oxygen equipment supplier, Wheelchair rental service, Wheelchair store",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 98993 04466,https://www.wellbeinghomecare.in/medical-equipment-services.html,5.0,134.0,"Gate no 4, Bohra Market, Shop no 2, near Ardee City, Gurugram, Haryana 122003","Block D, Indira Colony 2, Sector 52",28.4357318,77.0753173,ChIJzy4oQ6oZDTkRJtuMFcnsdQ4,https://www.google.com/maps/place/?q=place_id:ChIJzy4oQ6oZDTkRJtuMFcnsdQ4,part_375,2026-09-20 20:33:53
